N,P,K,pH,Umidade,Bomba
OK,OK,OK,3.42,40.0,DESLIGADA
OK,OK,OK,3.42,40.0,DESLIGADA
OK,OK,OK,3.42,40.0,DESLIGADA
OK,OK,OK,3.42,40.0,DESLIGADA
OK,OK,OK,3.42,40.0,DESLIGADA
OK,OK,OK,3.42,40.0,DESLIGADA
OK,OK,OK,3.42,40.0,DESLIGADA
OK,OK,OK,3.42,40.0,DESLIGADA
OK,OK,OK,3.42,40.0,DESLIGADA
OK,OK,OK,3.42,40.0,DESLIGADA
OK,OK,OK,3.42,40.0,DESLIGADA
OK,OK,OK,3.42,40.0,DESLIGADA
OK,OK,OK,3.42,40.0,DESLIGADA
OK,OK,OK,10.89,40.0,DESLIGADA
OK,OK,OK,12.07,40.0,DESLIGADA
OK,OK,OK,12.07,40.0,DESLIGADA
OK,OK,OK,12.07,40.0,DESLIGADA
OK,OK,OK,12.07,40.0,DESLIGADA
OK,OK,OK,12.07,40.0,DESLIGADA
OK,OK,OK,11.19,40.0,DESLIGADA
OK,OK,OK,7.10,40.0,DESLIGADA
OK,OK,OK,5.87,40.0,DESLIGADA
OK,OK,OK,5.98,40.0,DESLIGADA
OK,OK,OK,5.98,40.0,DESLIGADA
OK,OK,OK,5.98,40.0,DESLIGADA
OK,OK,OK,6.54,40.0,LIGADA
OK,OK,OK,6.99,40.0,DESLIGADA
OK,OK,OK,6.77,40.0,LIGADA
OK,OK,OK,6.77,40.0,LIGADA
OK,OK,OK,6.77,40.0,LIGADA
OK,OK,OK,6.77,40.0,LIGADA
OK,OK,OK,6.77,40.0,LIGADA
OK,OK,OK,6.77,40.0,LIGADA
OK,OK,OK,6.77,40.0,LIGADA
OK,OK,OK,6.77,58.0,LIGADA
OK,OK,OK,6.77,58.0,LIGADA
OK,OK,OK,6.77,59.0,LIGADA
OK,OK,OK,6.77,59.0,LIGADA
OK,OK,OK,6.77,59.0,LIGADA
OK,OK,OK,6.77,59.0,LIGADA
OK,OK,OK,6.77,31.0,LIGADA
OK,OK,OK,6.77,31.0,LIGADA
OK,OK,OK,6.77,22.0,LIGADA
OK,OK,OK,6.77,22.0,LIGADA
OK,OK,OK,6.77,19.5,LIGADA
OK,OK,OK,6.77,19.5,LIGADA
OK,OK,OK,6.77,13.0,LIGADA
OK,OK,OK,6.77,13.0,LIGADA
OK,OK,OK,6.77,11.5,LIGADA
OK,OK,OK,6.77,11.5,LIGADA
OK,OK,OK,6.77,11.5,LIGADA
OK,OK,OK,6.77,11.5,LIGADA
OK,OK,OK,6.77,11.5,LIGADA
OK,OK,OK,6.77,11.5,LIGADA
OK,OK,OK,6.77,11.5,LIGADA
OK,OK,OK,6.77,11.5,LIGADA
OK,OK,OK,6.77,74.0,DESLIGADA
OK,OK,OK,6.77,74.0,DESLIGADA
OK,OK,OK,6.77,74.0,DESLIGADA
OK,OK,OK,6.77,74.0,DESLIGADA
OK,OK,OK,6.77,68.0,DESLIGADA
OK,OK,OK,6.77,68.0,DESLIGADA
OK,OK,OK,6.77,68.0,DESLIGADA
OK,OK,OK,6.77,68.0,DESLIGADA
OK,OK,OK,6.77,54.0,LIGADA
OK,OK,OK,6.77,54.0,LIGADA
OK,OK,OK,6.77,32.5,LIGADA
OK,OK,OK,6.77,32.5,LIGADA
OK,OK,OK,6.77,32.5,LIGADA
OK,OK,OK,6.77,32.5,LIGADA
OK,OK,OK,6.77,32.5,LIGADA
